# t	M_D	M_d	R_out	R_C	R_68	R_95	M_acc
# yr	g	g	AU	AU	AU	AU	Msun/yr
4.570000000000000000e+03	9.942174866387011945e+31	9.923747003597959605e+29	1.548897756380787087e+03	1.501400463414647675e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.191442162513047492e-09
4.786000000000000000e+03	9.942039005890513121e+31	9.922226878974404692e+29	1.548897756380787087e+03	1.501462257133863716e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.191876462476579470e-09
5.011000000000000000e+03	9.941897452602409535e+31	9.920596074739625731e+29	1.548897756380787087e+03	1.501526062978082336e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.192287080810731056e-09
5.248000000000000000e+03	9.941748318607050447e+31	9.918826340839458804e+29	1.548897756380787087e+03	1.501592667197104731e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.192666596340928148e-09
5.494999999999999091e+03	9.941592862106383591e+31	9.916925540855689775e+29	1.548897756380787087e+03	1.501661441420831693e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.193010483259484511e-09
5.753999999999999091e+03	9.941429824471202936e+31	9.914870951811615872e+29	1.548897756380787087e+03	1.501732878633266921e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.193298213335142406e-09
6.025000000000000000e+03	9.941259205947405021e+31	9.912654271901988619e+29	1.548897756380787087e+03	1.501806910060510916e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.193535301685291853e-09
6.309000000000000909e+03	9.941080377592812904e+31	9.910258362825032299e+29	1.548897756380787087e+03	1.501883739639992257e+02	1.712862719568636578e+02	4.500663670834063623e+02	3.193776471256695282e-09
6.606000000000000000e+03	9.940893340316305232e+31	9.907673558908769205e+29	1.548897756380787087e+03	1.501963297572165743e+02	1.718093484834449498e+02	4.500663670834063623e+02	3.193902793773069927e-09
6.918000000000000000e+03	9.940696835836487171e+31	9.904871674158159114e+29	1.548897756380787087e+03	1.502046046435544326e+02	1.718093484834449498e+02	4.500663670834063623e+02	3.194037031670230757e-09
7.244000000000000000e+03	9.940491495603222805e+31	9.901850132066743141e+29	1.548897756380787087e+03	1.502131648095530068e+02	1.718093484834449498e+02	4.500663670834063623e+02	3.194103859963727088e-09
7.585000000000000000e+03	9.940276691807736292e+31	9.898587763509148540e+29	1.548897756380787087e+03	1.502220297204984547e+02	1.718093484834449498e+02	4.500663670834063623e+02	3.194120430843211146e-09
7.943000000000000000e+03	9.940051166949800170e+31	9.895051828669905781e+29	1.550469907557358511e+03	1.502315307745568305e+02	1.718093484834449498e+02	4.500663670834063623e+02	3.194107122142426983e-09
8.317000000000000000e+03	9.939815553715231991e+31	9.891237750702844562e+29	1.550469907557358511e+03	1.502410592214464202e+02	1.718093484834449498e+02	4.509140147863815855e+02	3.194065986428558822e-09
8.709000000000000000e+03	9.939568595184676772e+31	9.887109806133401672e+29	1.550469907557358511e+03	1.502509475357239808e+02	1.718093484834449498e+02	4.509140147863815855e+02	3.193963849956885680e-09
9.120000000000000000e+03	9.939309664636354682e+31	9.882640249217718495e+29	1.550469907557358511e+03	1.502612132694647755e+02	1.718093484834449498e+02	4.509140147863815855e+02	3.193813530546952050e-09
9.549000000000000000e+03	9.939039395583007218e+31	9.877822359252041876e+29	1.550469907557358511e+03	1.502718243557190476e+02	1.723332224822041496e+02	4.509140147863815855e+02	3.193639898624909958e-09
1.000000000000000000e+04	9.938755271695048308e+31	9.872591637105161960e+29	1.550469907557358511e+03	1.502828721502868632e+02	1.723332224822041496e+02	4.509140147863815855e+02	3.193458185095977697e-09
1.047100000000000000e+04	9.938458556586543671e+31	9.866950239533972983e+29	1.550469907557358511e+03	1.502942999463247986e+02	1.723332224822041496e+02	4.509140147863815855e+02	3.193239434104314867e-09
1.096400000000000000e+04	9.938147993720149855e+31	9.860852855360807977e+29	1.550469907557358511e+03	1.503061491607353446e+02	1.723332224822041496e+02	4.509140147863815855e+02	3.192955290695422748e-09
1.148099999999999818e+04	9.937822326363771551e+31	9.854250798264925102e+29	1.550469907557358511e+03	1.503184599974010212e+02	1.723332224822041496e+02	4.509140147863815855e+02	3.192702340711937839e-09
1.202200000000000182e+04	9.937481557178776729e+31	9.847118679617357936e+29	1.550469907557358511e+03	1.503312245171449035e+02	1.723332224822041496e+02	4.509140147863815855e+02	3.192478615577834311e-09
1.258900000000000000e+04	9.937124428173047572e+31	9.839403348682609056e+29	1.550469907557358511e+03	1.503444819114640723e+02	1.728578939531411436e+02	4.517624599615344891e+02	3.192197939184555554e-09
1.318200000000000000e+04	9.936750939945647497e+31	9.831076731004322702e+29	1.550469907557358511e+03	1.503582241646004718e+02	1.728578939531411436e+02	4.517624599615344891e+02	3.191932284284522584e-09
1.380299999999999818e+04	9.936359831979593015e+31	9.822081468777231323e+29	1.550469907557358511e+03	1.503724895852984389e+02	1.728578939531411436e+02	4.517624599615344891e+02	3.191738643414563232e-09
1.445400000000000000e+04	9.935949841881420008e+31	9.812356887087141502e+29	1.550469907557358511e+03	1.503873154452112999e+02	1.733833628962561022e+02	4.517624599615344891e+02	3.191487586063882071e-09
1.513500000000000000e+04	9.935520964303721814e+31	9.801870373249903832e+29	1.550469907557358511e+03	1.504026931375003642e+02	1.733833628962561022e+02	4.517624599615344891e+02	3.191359075157413447e-09
1.584800000000000000e+04	9.935071931319097560e+31	9.790557797455974549e+29	1.550469907557358511e+03	1.504186592363470538e+02	1.733833628962561022e+02	4.526117026088654711e+02	3.191275943827348021e-09
1.659500000000000000e+04	9.934601471091511892e+31	9.778352254386652245e+29	1.552042856206108127e+03	1.504354889684470891e+02	1.739096293115489402e+02	4.526117026088654711e+02	3.191312402191309136e-09
1.737800000000000000e+04	9.934108307033354425e+31	9.765184323188992399e+29	1.552042856206108127e+03	1.504527352639507285e+02	1.739096293115489402e+02	4.526117026088654711e+02	3.191416898372256177e-09
1.819700000000000000e+04	9.933592416572778382e+31	9.751017514103181669e+29	1.552042856206108127e+03	1.504706315703552661e+02	1.739096293115489402e+02	4.534617427283741335e+02	3.191644991608700495e-09
1.905400000000000000e+04	9.933052510946499031e+31	9.735781451242676782e+29	1.552042856206108127e+03	1.504892127021161059e+02	1.744366931990195440e+02	4.534617427283741335e+02	3.192007254070551219e-09
1.995200000000000000e+04	9.932486663407948744e+31	9.719386091424492329e+29	1.552042856206108127e+03	1.505085344631038993e+02	1.744366931990195440e+02	4.534617427283741335e+02	3.192590378058103010e-09
2.089200000000000000e+04	9.931894198289688310e+31	9.701776848058375566e+29	1.552042856206108127e+03	1.505286091287016461e+02	1.749645545586681123e+02	4.543125803200608175e+02	3.193330491460869706e-09
2.187700000000000000e+04	9.931273169129298857e+31	9.682862294574941464e+29	1.552042856206108127e+03	1.505494917221697619e+02	1.754932133904945601e+02	4.543125803200608175e+02	3.194288471473609592e-09
2.290800000000000000e+04	9.930622878802810846e+31	9.662589856552441781e+29	1.552042856206108127e+03	1.505711947258454018e+02	1.754932133904945601e+02	4.543125803200608175e+02	3.195444395504748624e-09
2.398800000000000000e+04	9.929941356311196637e+31	9.640869913028262807e+29	1.552042856206108127e+03	1.505937730918647048e+02	1.760226696944987737e+02	4.551642153839254092e+02	3.196813313252131206e-09
2.511800000000000000e+04	9.929227878916465571e+31	9.617655367765961842e+29	1.552042856206108127e+03	1.506172402341375687e+02	1.765529234706809518e+02	4.551642153839254092e+02	3.198521222961722551e-09
2.630200000000000000e+04	9.928479815155923038e+31	9.592841086549290673e+29	1.553616602327035707e+03	1.506418847645939536e+02	1.765529234706809518e+02	4.560166479199676814e+02	3.200481698903020182e-09
2.754200000000000000e+04	9.927695779970585488e+31	9.566366728186692208e+29	1.553616602327035707e+03	1.506673155902688563e+02	1.770839747190409526e+02	4.560166479199676814e+02	3.202740145992644208e-09
2.884000000000000000e+04	9.926874372995807696e+31	9.538178069540918009e+29	1.553616602327035707e+03	1.506937832564126154e+02	1.776158234395788611e+02	4.568698779281880320e+02	3.205370428682221170e-09
3.019900000000000000e+04	9.926013545261069736e+31	9.508205863864468272e+29	1.553616602327035707e+03	1.507213456546490420e+02	1.781484696322946490e+02	4.568698779281880320e+02	3.208278546208016676e-09
3.162200000000000000e+04	9.925111231029033135e+31	9.476387918222413156e+29	1.553616602327035707e+03	1.507500617934929039e+02	1.786819132971882311e+02	4.577239054085860630e+02	3.211429011815364775e-09
3.311300000000000000e+04	9.924164713659047230e+31	9.442647593252858759e+29	1.553616602327035707e+03	1.507800120766863472e+02	1.792161544342597779e+02	4.585787303611621155e+02	3.214894993972727158e-09
3.467300000000000000e+04	9.923173167382701831e+31	9.406985718120231582e+29	1.553616602327035707e+03	1.508112182007114370e+02	1.797511930435092040e+02	4.594343527859160190e+02	3.218623807237967018e-09
3.630700000000000000e+04	9.922133213900814875e+31	9.369322603061996191e+29	1.555191145920141253e+03	1.508439882337937092e+02	1.802870291249363959e+02	4.594343527859160190e+02	3.222688269341241333e-09
3.801800000000000000e+04	9.921042735072135602e+31	9.329634927306761862e+29	1.555191145920141253e+03	1.508779781952665644e+02	1.808236626785415524e+02	4.602907726828478303e+02	3.226887956191679713e-09
3.981000000000000000e+04	9.919898968735790044e+31	9.287887902060916405e+29	1.555191145920141253e+03	1.509134793566607300e+02	1.818993222022853899e+02	4.611479900519573789e+02	3.231324116278648132e-09
4.168600000000000000e+04	9.918699787602115118e+31	9.244081965486732589e+29	1.555191145920141253e+03	1.509505599812506489e+02	1.824383481724241847e+02	4.620060048932448922e+02	3.235998525384434607e-09
4.365100000000000000e+04	9.917441786221645141e+31	9.198182953736735380e+29	1.555191145920141253e+03	1.509893292514378231e+02	1.835187925292352418e+02	4.628648172067101427e+02	3.240673261718350039e-09
4.570800000000000000e+04	9.916122842051721808e+31	9.150215361265056919e+29	1.556766486985424535e+03	1.510300638993709299e+02	1.840602109159076463e+02	4.637244269923534716e+02	3.245352248990166803e-09
4.786300000000000000e+04	9.914738916462004592e+31	9.100145433991998756e+29	1.556766486985424535e+03	1.510724844719367468e+02	1.851454401057859513e+02	4.645848342501745947e+02	3.250096102954389060e-09
5.011800000000000000e+04	9.913288549781065274e+31	9.048043480130554665e+29	1.556766486985424535e+03	1.511168487683846422e+02	1.856892509089919656e+02	4.654460389801735118e+02	3.254754132266522181e-09
